source_id,phot_g_mean_mag,phot_rp_mean_mag,phot_bp_mean_mag,parallax,original_ext_source_id,j_m,ks_m
4.65724761998985E+018,15.517647,14.280669,17.279589,-0.078308981443197,05350409-6957148,13.708,10.631
4.65724837160421E+018,16.08547,14.982412,17.166742,0.044223726152959,05350429-6952276,12.966,11.884
4.65724896001934E+018,15.131879,13.880837,16.74068,-0.126704186963467,05335662-6954031,12.136,10.28
4.65724909308985E+018,15.952488,14.896495,16.923355,-0.054995526519032,05340409-6952498,13.45,12.279
4.65724909745828E+018,16.153952,14.735731,18.30971,-0.197954463137875,05340026-6952053,12.468,11.086
4.65724920053745E+018,16.150377,15.035343,17.236124,-0.097510393437437,05335222-6951264,13.474,12.25
4.65724944105571E+018,16.050388,14.867605,17.387163,-0.084964708259779,05342160-6950466,12.964,11.463
4.65725047184962E+018,15.425458,14.173568,16.861996,-0.061417240324587,05395713-7004419,12.148,10.524
4.65725098724547E+018,16.032747,14.782918,17.336288,-0.094884001961623,05390158-7005128,12.765,11.041
4.65725129648346E+018,15.830555,14.417572,18.194822,-0.157047539776416,05384910-7004023,12.037,10.739
4.65725181187896E+018,15.377042,14.124627,16.9589,-0.074795220725416,05383618-7001106,12.029,10.41
4.65725236163504E+018,16.178377,14.792519,18.126326,-0.174067796457518,05392632-7001064,12.54,11.114
4.65725273959225E+018,15.919469,14.7309675,17.365412,0.06523097442988,05395562-6958424,13.01,11.859
4.6572528083117E+018,14.571372,13.289551,16.313025,-0.088733530981257,05394371-7000010,11.28,10.03
4.65725339242693E+018,15.52153,14.075461,17.724869,0.020449753502256,05384755-6958474,11.593,10.264
4.65725342678664E+018,16.00206,14.617721,17.952639,-0.01994435094386,05384061-6959097,12.532,11.213
4.65725428578003E+018,16.218021,14.994218,17.649479,-0.057009849027177,05381243-7002237,13.191,11.886
4.65725480117607E+018,15.63001,14.372475,16.94443,0.000233979063813,05381478-7000262,12.509,11.261
4.65725493861499E+018,15.153913,14.008095,16.477688,-0.041901802404348,05381544-6958574,11.995,10.547
4.65725599944471E+018,15.677144,14.229923,17.869026,-0.045315050821724,05373795-6955403,11.765,10.455
5.27856830919891E+018,15.626117,14.337816,17.544186,-0.09938518441598,06114930-7039102,12.456,11.215
5.27857511242805E+018,15.835246,14.630651,17.299868,-0.035820569409003,06001944-7109016,12.82,11.598
5.27857549038508E+018,15.686645,14.561538,17.01632,-0.077842168475107,06002812-7107131,12.916,11.72
5.27857634937855E+018,15.5352955,14.400913,16.857365,-0.116663732870343,06005057-7104357,12.728,11.523
5.27857727709157E+018,15.192036,14.0639515,16.52457,-0.031128538507779,,,
5.27857896071858E+018,15.20887,14.057072,16.594456,-0.072539196792787,06025718-7057406,12.457,11.223
5.27857947181313E+018,15.965797,14.702149,17.724636,-0.074017919220999,06033292-7104324,13.106,10.35
5.27858325568594E+018,15.445406,14.222549,17.150042,0.002991489122289,06061041-7053319,12.025,10.308
5.27858737885452E+018,15.803607,14.7026825,17.063168,-0.010914265166461,06051867-7049370,13.147,12.02
5.2785896122376E+018,15.463394,14.217517,17.23547,-0.051732566622012,06001353-7100138,12.374,10.48
5.27858988711552E+018,15.565345,14.247687,17.586323,-0.023733592650387,,,
5.27859050559082E+018,15.293441,14.163416,16.64048,-0.018759995269074,,,
5.27859239537627E+018,15.236573,13.994668,17.011066,-0.045893494770664,06023744-7051492,12.075,10.852
5.27859335744893E+018,15.9928875,14.840814,17.434309,0.033181041789145,06012240-7054288,13.275,11.978
5.27859576263051E+018,15.528239,14.27068,17.232718,-0.072251634809583,06031004-7048167,12.364,11.169
5.27859693086161E+018,15.492792,14.261965,17.112354,-0.080209095911103,06030657-7044470,12.352,11.168
5.27859882064726E+018,15.71726,14.398586,17.641945,-0.140219132190027,06050290-7045512,12.448,11.167
5.27860424948595E+018,15.402306,14.226945,16.86104,-0.048876386377811,06061329-7038437,12.318,10.98
5.27860431392172E+018,15.734916,14.44452,17.435215,0.073660784983002,06064287-7037559,12.499,11.278
5.27860634543083E+018,15.225334,14.045398,16.731932,0.005636421946318,06075482-7050368,12.186,10.572
5.27860771982036E+018,15.6672735,14.531965,16.952711,-0.031624242314921,06075368-7046388,12.844,11.728
5.2786112932331E+018,15.993662,14.624758,17.798328,-0.136246107777194,06070082-7045040,13.022,11.792
5.2786209826795E+018,15.751838,14.387189,18.018024,-0.030351587037938,06110775-7029230,12.204,10.919
5.27862105139907E+018,15.35882,14.187342,16.76284,-0.082654600853757,06112993-7028350,12.505,11.352
5.27862163551458E+018,15.025098,13.81676,16.716646,0.002149110505318,06123970-7027344,11.816,10.225
5.27862397197659E+018,15.2835455,14.082546,16.862604,-0.081644129626224,06075627-7039210,12.147,10.453
5.27862641151807E+018,15.579943,14.39675,16.995468,-0.047931134301016,06092371-7033078,12.751,11.522
5.278629297736E+018,15.167094,14.053229,16.422691,-0.075580579136943,06072517-7031281,12.366,10.979
5.27863318038664E+018,15.439767,14.197463,17.207958,-0.032796791511935,06114793-7025081,12.281,11.079
5.27863785331099E+018,15.714987,14.497532,17.09443,-0.026253525883216,06104687-7021151,12.941,11.055
5.27864643894496E+018,15.580531,14.339062,17.455229,0.061578828807635,06152163-7040396,12.254,11.082
5.27865369315063E+018,15.608771,14.356774,17.52627,-0.046180173114991,06193448-7030573,12.255,10.393
5.27865761016079E+018,15.760355,14.375337,17.951761,-0.007827698368047,06190571-7027260,12.272,11
5.27866207692669E+018,15.166849,13.886534,17.00153,-0.013056246112569,06155122-7032137,11.909,10.75
5.27866303899927E+018,15.615867,14.38806,17.416832,-0.080577798589817,06134179-7036416,12.504,11.218
4.65524753960591E+018,14.821781,13.653825,16.212132,-0.115932765427763,05005669-6933485,11.789,10.103
4.65524771140461E+018,14.810796,13.664037,16.14012,0.019297580147749,05004195-6937026,11.725,10.082
4.65524794756584E+018,13.0567465,11.876286,14.542261,-0.031456322951049,05000687-6935451,10.115,8.855
4.6552482268006E+018,15.777629,14.581766,17.221046,0.047776798867926,05003452-6934350,12.862,11.594
4.65524849732183E+018,15.694945,14.410784,17.48114,-0.116250853984232,05002152-6933162,12.195,10.27
4.65524867347753E+018,15.805562,14.552035,17.297268,-0.077672009673067,04594027-6941226,12.732,11.53
4.65525035274757E+018,15.397432,14.147546,16.928982,0.058606222563915,04590798-6934472,12.056,10.412
4.65525090686013E+018,15.918879,14.623872,17.292393,-0.035513663504027,05000101-6934545,12.694,11.593
4.65525265920707E+018,15.7475395,14.470331,17.397285,0.025040535454143,04592729-6928309,12.57,11.333
4.65525355256202E+018,15.804164,14.485264,17.65213,-0.090207339508759,05010387-6932019,12.492,11.255
4.65525378872175E+018,15.793045,14.8117,16.741653,-0.089683939867784,05014890-6931105,13.445,12.409
4.65525457899579E+018,16.093288,14.748594,18.024004,-0.107678235497662,05003368-6930171,12.762,10.393
4.65525527054905E+018,15.764647,14.538189,17.350365,-0.106825731072174,05014681-6930289,12.687,11.466
4.65525585042694E+018,15.121949,13.990338,16.440802,-0.042211661083735,05015611-6926092,12.459,10.728
4.65525585466459E+018,15.639043,14.447667,16.964483,0.065030088109186,05020353-6927025,13.076,11.794
4.65525664493826E+018,15.601384,14.463551,16.854986,-0.083430999068911,05004723-6926054,12.841,11.703
4.65525709161493E+018,16.238592,15.218249,17.197596,0.020626482659761,05012512-6922557,13.822,12.796
4.65525764137063E+018,16.105806,15.0686245,17.18115,-0.002119566280934,05001811-6928291,13.736,12.619
4.65525819112637E+018,16.086441,14.7472515,18.247343,-0.042139688050631,05002255-6925021,12.462,10.096
4.65525832856522E+018,15.616388,14.424616,17.079277,-0.060095910561049,04595803-6924465,13.272,12.161
4.65525863780277E+018,15.86848,14.7455,17.117077,-0.018818277931972,04591983-6926430,13.04,11.656
4.65525870652226E+018,15.763601,14.401283,18.094467,-0.26495300053878,04593152-6925352,12.205,10.899
4.6552588783209E+018,15.251611,14.014539,16.931961,-0.091608862262376,04591551-6925251,12.208,10.962
4.65525901575984E+018,15.651008,14.362386,17.518667,-0.060875213650747,04592269-6924024,12.034,10.128
4.65525929063777E+018,15.5533285,14.287733,17.052948,-0.03070234928016,04594216-6922089,12.473,11.249
4.65525980603407E+018,15.626194,14.415989,17.062298,0.056259149551009,05003401-6923129,12.666,10.858
4.65526076810655E+018,15.621421,14.321716,17.42372,-0.149217614839973,04595056-6922048,12.414,11.116
4.65526100862461E+018,15.707491,14.412341,17.564575,-0.043387715578234,04593943-6918396,12.224,10.383
4.65526231429706E+018,15.262967,14.055962,16.83934,-0.053665941916999,04580712-6932524,12.12,10.419
4.65526313893053E+018,12.285557,11.214542,13.49684,-0.009795185640793,04574458-6930341,9.694,8.562
4.65526348252809E+018,15.940375,14.687036,17.235678,-0.051099050088394,04571365-6928314,12.758,11.535
4.65526416972275E+018,15.565659,14.37329,16.909937,0.058377439085884,04583117-6929192,12.841,11.218
4.65795914147128E+018,15.71317,14.395388,17.289276,-0.080574175195756,05241970-6958260,12.464,11.245
4.65795979425779E+018,15.945915,14.671051,17.46211,-0.04507607771388,05240315-6957022,12.601,10.841
4.65795993174562E+018,15.563477,14.310242,17.087038,0.044890701153429,05240684-6955115,12.451,11.247
4.65796003482479E+018,16.06602,14.87267,17.41268,-0.004764670690554,05235080-6953219,13.041,11.372
4.65796020224234E+018,15.061956,13.730818,17.015085,-0.062785534806887,05251772-6956453,11.72,10.412
4.6579602409842E+018,15.300314,14.039032,16.7936,-0.0251568929468,05251774-6955394,12.085,10.328
4.65796027109546E+018,15.454657,14.211879,16.958641,0.026933905151855,05250839-6955534,12.168,10.392
4.65796033981351E+018,15.707832,14.525936,16.905817,-0.040783678578561,05245294-6956429,12.839,11.405
4.65796034406342E+018,15.881655,14.428589,16.883736,-0.178908344984776,05245075-6956547,12.574,11.39
4.65796041278284E+018,15.2277565,14.082336,16.335627,0.011197679376737,05244649-6955595,12.128,10.812
4.65796054597787E+018,15.761909,14.51431,16.86191,-0.01952353015103,05244055-6954143,12.713,11.485
4.65796078649776E+018,15.319473,13.971644,17.080124,-0.012736791786933,05252302-6953273,11.865,10.583
4.65796127177604E+018,15.630819,14.278609,17.498146,-0.026044045156512,05241632-6953406,12.099,10.875
4.65796140921494E+018,15.608223,14.3232,16.938534,-0.152142605431432,05242803-6952371,12.66,11.412
4.65796161537326E+018,15.503341,14.2318535,17.158022,-0.047255809274659,05241084-6951455,12.377,10.482
4.65796161537327E+018,15.689197,14.561936,16.854544,-0.010011712560002,05240979-6952029,12.971,11.831
